😀	face-smiling/grinning-face
😃	face-smiling/grinning-face-with-big-eyes
😄	face-smiling/grinning-face-with-smiling-eyes
😁	face-smiling/beaming-face-with-smiling-eyes
😆	face-smiling/grinning-squinting-face
😅	face-smiling/grinning-face-with-sweat
🤣	face-smiling/rolling-on-the-floor-laughing
😂	face-smiling/face-with-tears-of-joy
🙂	face-smiling/slightly-smiling-face
🙃	face-smiling/upside-down-face
🫠	face-smiling/melting-face
😉	face-smiling/winking-face
😊	face-smiling/smiling-face-with-smiling-eyes
😇	face-smiling/smiling-face-with-halo
🥰	face-affection/smiling-face-with-hearts
😍	face-affection/smiling-face-with-heart-eyes
🤩	face-affection/star-struck
😘	face-affection/face-blowing-a-kiss
😗	face-affection/kissing-face
☺️	face-affection/smiling-face
☺	face-affection/smiling-face
😚	face-affection/kissing-face-with-closed-eyes
😙	face-affection/kissing-face-with-smiling-eyes
🥲	face-affection/smiling-face-with-tear
😋	face-tongue/face-savoring-food
😛	face-tongue/face-with-tongue
😜	face-tongue/winking-face-with-tongue
🤪	face-tongue/zany-face
😝	face-tongue/squinting-face-with-tongue
🤑	face-tongue/money-mouth-face
🤗	face-hand/smiling-face-with-open-hands
🤭	face-hand/face-with-hand-over-mouth
🫢	face-hand/face-with-open-eyes-and-hand-over-mouth
🫣	face-hand/face-with-peeking-eye
🤫	face-hand/shushing-face
🤔	face-hand/thinking-face
🫡	face-hand/saluting-face
🤐	face-neutral-skeptical/zipper-mouth-face
🤨	face-neutral-skeptical/face-with-raised-eyebrow
😐	face-neutral-skeptical/neutral-face
😑	face-neutral-skeptical/expressionless-face
😶	face-neutral-skeptical/face-without-mouth
🫥	face-neutral-skeptical/dotted-line-face
😶‍🌫️	face-neutral-skeptical/face-in-clouds
😶‍🌫	face-neutral-skeptical/face-in-clouds
😏	face-neutral-skeptical/smirking-face
😒	face-neutral-skeptical/unamused-face
🙄	face-neutral-skeptical/face-with-rolling-eyes
😬	face-neutral-skeptical/grimacing-face
😮‍💨	face-neutral-skeptical/face-exhaling
🤥	face-neutral-skeptical/lying-face
🫨	face-neutral-skeptical/shaking-face
🙂‍↔️	face-neutral-skeptical/head-shaking-horizontally
🙂‍↔	face-neutral-skeptical/head-shaking-horizontally
🙂‍↕️	face-neutral-skeptical/head-shaking-vertically
🙂‍↕	face-neutral-skeptical/head-shaking-vertically
😌	face-sleepy/relieved-face
😔	face-sleepy/pensive-face
😪	face-sleepy/sleepy-face
🤤	face-sleepy/drooling-face
😴	face-sleepy/sleeping-face
🫩	face-sleepy/face-with-bags-under-eyes
😷	face-unwell/face-with-medical-mask
🤒	face-unwell/face-with-thermometer
🤕	face-unwell/face-with-head-bandage
🤢	face-unwell/nauseated-face
🤮	face-unwell/face-vomiting
🤧	face-unwell/sneezing-face
🥵	face-unwell/hot-face
🥶	face-unwell/cold-face
🥴	face-unwell/woozy-face
😵	face-unwell/face-with-crossed-out-eyes
😵‍💫	face-unwell/face-with-spiral-eyes
🤯	face-unwell/exploding-head
🤠	face-hat/cowboy-hat-face
🥳	face-hat/partying-face
🥸	face-hat/disguised-face
😎	face-glasses/smiling-face-with-sunglasses
🤓	face-glasses/nerd-face
🧐	face-glasses/face-with-monocle
😕	face-concerned/confused-face
🫤	face-concerned/face-with-diagonal-mouth
😟	face-concerned/worried-face
🙁	face-concerned/slightly-frowning-face
☹️	face-concerned/frowning-face
☹	face-concerned/frowning-face
😮	face-concerned/face-with-open-mouth
😯	face-concerned/hushed-face
😲	face-concerned/astonished-face
😳	face-concerned/flushed-face
🥺	face-concerned/pleading-face
🥹	face-concerned/face-holding-back-tears
😦	face-concerned/frowning-face-with-open-mouth
😧	face-concerned/anguished-face
😨	face-concerned/fearful-face
😰	face-concerned/anxious-face-with-sweat
😥	face-concerned/sad-but-relieved-face
😢	face-concerned/crying-face
😭	face-concerned/loudly-crying-face
😱	face-concerned/face-screaming-in-fear
😖	face-concerned/confounded-face
😣	face-concerned/persevering-face
😞	face-concerned/disappointed-face
😓	face-concerned/downcast-face-with-sweat
😩	face-concerned/weary-face
😫	face-concerned/tired-face
🥱	face-concerned/yawning-face
😤	face-negative/face-with-steam-from-nose
😡	face-negative/enraged-face
😠	face-negative/angry-face
🤬	face-negative/face-with-symbols-on-mouth
😈	face-negative/smiling-face-with-horns
👿	face-negative/angry-face-with-horns
💀	face-negative/skull
☠️	face-negative/skull-and-crossbones
☠	face-negative/skull-and-crossbones
💩	face-costume/pile-of-poo
🤡	face-costume/clown-face
👹	face-costume/ogre
👺	face-costume/goblin
👻	face-costume/ghost
👽	face-costume/alien
👾	face-costume/alien-monster
🤖	face-costume/robot
😺	cat-face/grinning-cat
😸	cat-face/grinning-cat-with-smiling-eyes
😹	cat-face/cat-with-tears-of-joy
😻	cat-face/smiling-cat-with-heart-eyes
😼	cat-face/cat-with-wry-smile
😽	cat-face/kissing-cat
🙀	cat-face/weary-cat
😿	cat-face/crying-cat
😾	cat-face/pouting-cat
🙈	monkey-face/see-no-evil-monkey
🙉	monkey-face/hear-no-evil-monkey
🙊	monkey-face/speak-no-evil-monkey
💌	heart/love-letter
💘	heart/heart-with-arrow
💝	heart/heart-with-ribbon
💖	heart/sparkling-heart
💗	heart/growing-heart
💓	heart/beating-heart
💞	heart/revolving-hearts
💕	heart/two-hearts
💟	heart/heart-decoration
❣️	heart/heart-exclamation
❣	heart/heart-exclamation
💔	heart/broken-heart
❤️‍🔥	heart/heart-on-fire
❤‍🔥	heart/heart-on-fire
❤️‍🩹	heart/mending-heart
❤‍🩹	heart/mending-heart
❤️	heart/red-heart
❤	heart/red-heart
🩷	heart/pink-heart
🧡	heart/orange-heart
💛	heart/yellow-heart
💚	heart/green-heart
💙	heart/blue-heart
🩵	heart/light-blue-heart
💜	heart/purple-heart
🤎	heart/brown-heart
🖤	heart/black-heart
🩶	heart/grey-heart
🤍	heart/white-heart
💋	emotion/kiss-mark
💯	emotion/hundred-points
💢	emotion/anger-symbol
💥	emotion/collision
💫	emotion/dizzy
💦	emotion/sweat-droplets
💨	emotion/dashing-away
🕳️	emotion/hole
🕳	emotion/hole
💬	emotion/speech-balloon
👁️‍🗨️	emotion/eye-in-speech-bubble
👁‍🗨️	emotion/eye-in-speech-bubble
👁️‍🗨	emotion/eye-in-speech-bubble
👁‍🗨	emotion/eye-in-speech-bubble
🗨️	emotion/left-speech-bubble
🗨	emotion/left-speech-bubble
🗯️	emotion/right-anger-bubble
🗯	emotion/right-anger-bubble
💭	emotion/thought-balloon
💤	emotion/ZZZ
👋	hand-fingers-open/waving-hand
👋🏻	hand-fingers-open/waving-hand-light-skin-tone
👋🏼	hand-fingers-open/waving-hand-medium-light-skin-tone
👋🏽	hand-fingers-open/waving-hand-medium-skin-tone
👋🏾	hand-fingers-open/waving-hand-medium-dark-skin-tone
👋🏿	hand-fingers-open/waving-hand-dark-skin-tone
🤚	hand-fingers-open/raised-back-of-hand
🤚🏻	hand-fingers-open/raised-back-of-hand-light-skin-tone
🤚🏼	hand-fingers-open/raised-back-of-hand-medium-light-skin-tone
🤚🏽	hand-fingers-open/raised-back-of-hand-medium-skin-tone
🤚🏾	hand-fingers-open/raised-back-of-hand-medium-dark-skin-tone
🤚🏿	hand-fingers-open/raised-back-of-hand-dark-skin-tone
🖐️	hand-fingers-open/hand-with-fingers-splayed
🖐	hand-fingers-open/hand-with-fingers-splayed
🖐🏻	hand-fingers-open/hand-with-fingers-splayed-light-skin-tone
🖐🏼	hand-fingers-open/hand-with-fingers-splayed-medium-light-skin-tone
🖐🏽	hand-fingers-open/hand-with-fingers-splayed-medium-skin-tone
🖐🏾	hand-fingers-open/hand-with-fingers-splayed-medium-dark-skin-tone
🖐🏿	hand-fingers-open/hand-with-fingers-splayed-dark-skin-tone
✋	hand-fingers-open/raised-hand
✋🏻	hand-fingers-open/raised-hand-light-skin-tone
✋🏼	hand-fingers-open/raised-hand-medium-light-skin-tone
✋🏽	hand-fingers-open/raised-hand-medium-skin-tone
✋🏾	hand-fingers-open/raised-hand-medium-dark-skin-tone
✋🏿	hand-fingers-open/raised-hand-dark-skin-tone
🖖	hand-fingers-open/vulcan-salute
🖖🏻	hand-fingers-open/vulcan-salute-light-skin-tone
🖖🏼	hand-fingers-open/vulcan-salute-medium-light-skin-tone
🖖🏽	hand-fingers-open/vulcan-salute-medium-skin-tone
🖖🏾	hand-fingers-open/vulcan-salute-medium-dark-skin-tone
🖖🏿	hand-fingers-open/vulcan-salute-dark-skin-tone
🫱	hand-fingers-open/rightwards-hand
🫱🏻	hand-fingers-open/rightwards-hand-light-skin-tone
🫱🏼	hand-fingers-open/rightwards-hand-medium-light-skin-tone
🫱🏽	hand-fingers-open/rightwards-hand-medium-skin-tone
🫱🏾	hand-fingers-open/rightwards-hand-medium-dark-skin-tone
🫱🏿	hand-fingers-open/rightwards-hand-dark-skin-tone
🫲	hand-fingers-open/leftwards-hand
🫲🏻	hand-fingers-open/leftwards-hand-light-skin-tone
🫲🏼	hand-fingers-open/leftwards-hand-medium-light-skin-tone
🫲🏽	hand-fingers-open/leftwards-hand-medium-skin-tone
🫲🏾	hand-fingers-open/leftwards-hand-medium-dark-skin-tone
🫲🏿	hand-fingers-open/leftwards-hand-dark-skin-tone
🫳	hand-fingers-open/palm-down-hand
🫳🏻	hand-fingers-open/palm-down-hand-light-skin-tone
🫳🏼	hand-fingers-open/palm-down-hand-medium-light-skin-tone
🫳🏽	hand-fingers-open/palm-down-hand-medium-skin-tone
🫳🏾	hand-fingers-open/palm-down-hand-medium-dark-skin-tone
🫳🏿	hand-fingers-open/palm-down-hand-dark-skin-tone
🫴	hand-fingers-open/palm-up-hand
🫴🏻	hand-fingers-open/palm-up-hand-light-skin-tone
🫴🏼	hand-fingers-open/palm-up-hand-medium-light-skin-tone
🫴🏽	hand-fingers-open/palm-up-hand-medium-skin-tone
🫴🏾	hand-fingers-open/palm-up-hand-medium-dark-skin-tone
🫴🏿	hand-fingers-open/palm-up-hand-dark-skin-tone
🫷	hand-fingers-open/leftwards-pushing-hand
🫷🏻	hand-fingers-open/leftwards-pushing-hand-light-skin-tone
🫷🏼	hand-fingers-open/leftwards-pushing-hand-medium-light-skin-tone
🫷🏽	hand-fingers-open/leftwards-pushing-hand-medium-skin-tone
🫷🏾	hand-fingers-open/leftwards-pushing-hand-medium-dark-skin-tone
🫷🏿	hand-fingers-open/leftwards-pushing-hand-dark-skin-tone
🫸	hand-fingers-open/rightwards-pushing-hand
🫸🏻	hand-fingers-open/rightwards-pushing-hand-light-skin-tone
🫸🏼	hand-fingers-open/rightwards-pushing-hand-medium-light-skin-tone
🫸🏽	hand-fingers-open/rightwards-pushing-hand-medium-skin-tone
🫸🏾	hand-fingers-open/rightwards-pushing-hand-medium-dark-skin-tone
🫸🏿	hand-fingers-open/rightwards-pushing-hand-dark-skin-tone
👌	hand-fingers-partial/OK-hand
👌🏻	hand-fingers-partial/OK-hand-light-skin-tone
👌🏼	hand-fingers-partial/OK-hand-medium-light-skin-tone
👌🏽	hand-fingers-partial/OK-hand-medium-skin-tone
👌🏾	hand-fingers-partial/OK-hand-medium-dark-skin-tone
👌🏿	hand-fingers-partial/OK-hand-dark-skin-tone
🤌	hand-fingers-partial/pinched-fingers
🤌🏻	hand-fingers-partial/pinched-fingers-light-skin-tone
🤌🏼	hand-fingers-partial/pinched-fingers-medium-light-skin-tone
🤌🏽	hand-fingers-partial/pinched-fingers-medium-skin-tone
🤌🏾	hand-fingers-partial/pinched-fingers-medium-dark-skin-tone
🤌🏿	hand-fingers-partial/pinched-fingers-dark-skin-tone
🤏	hand-fingers-partial/pinching-hand
🤏🏻	hand-fingers-partial/pinching-hand-light-skin-tone
🤏🏼	hand-fingers-partial/pinching-hand-medium-light-skin-tone
🤏🏽	hand-fingers-partial/pinching-hand-medium-skin-tone
🤏🏾	hand-fingers-partial/pinching-hand-medium-dark-skin-tone
🤏🏿	hand-fingers-partial/pinching-hand-dark-skin-tone
✌️	hand-fingers-partial/victory-hand
✌	hand-fingers-partial/victory-hand
✌🏻	hand-fingers-partial/victory-hand-light-skin-tone
✌🏼	hand-fingers-partial/victory-hand-medium-light-skin-tone
✌🏽	hand-fingers-partial/victory-hand-medium-skin-tone
✌🏾	hand-fingers-partial/victory-hand-medium-dark-skin-tone
✌🏿	hand-fingers-partial/victory-hand-dark-skin-tone
🤞	hand-fingers-partial/crossed-fingers
🤞🏻	hand-fingers-partial/crossed-fingers-light-skin-tone
🤞🏼	hand-fingers-partial/crossed-fingers-medium-light-skin-tone
🤞🏽	hand-fingers-partial/crossed-fingers-medium-skin-tone
🤞🏾	hand-fingers-partial/crossed-fingers-medium-dark-skin-tone
🤞🏿	hand-fingers-partial/crossed-fingers-dark-skin-tone
🫰	hand-fingers-partial/hand-with-index-finger-and-thumb-crossed
🫰🏻	hand-fingers-partial/hand-with-index-finger-and-thumb-crossed-light-skin-tone
🫰🏼	hand-fingers-partial/hand-with-index-finger-and-thumb-crossed-medium-light-skin-tone
🫰🏽	hand-fingers-partial/hand-with-index-finger-and-thumb-crossed-medium-skin-tone
🫰🏾	hand-fingers-partial/hand-with-index-finger-and-thumb-crossed-medium-dark-skin-tone
🫰🏿	hand-fingers-partial/hand-with-index-finger-and-thumb-crossed-dark-skin-tone
🤟	hand-fingers-partial/love-you-gesture
🤟🏻	hand-fingers-partial/love-you-gesture-light-skin-tone
🤟🏼	hand-fingers-partial/love-you-gesture-medium-light-skin-tone
🤟🏽	hand-fingers-partial/love-you-gesture-medium-skin-tone
🤟🏾	hand-fingers-partial/love-you-gesture-medium-dark-skin-tone
🤟🏿	hand-fingers-partial/love-you-gesture-dark-skin-tone
🤘	hand-fingers-partial/sign-of-the-horns
🤘🏻	hand-fingers-partial/sign-of-the-horns-light-skin-tone
🤘🏼	hand-fingers-partial/sign-of-the-horns-medium-light-skin-tone
🤘🏽	hand-fingers-partial/sign-of-the-horns-medium-skin-tone
🤘🏾	hand-fingers-partial/sign-of-the-horns-medium-dark-skin-tone
🤘🏿	hand-fingers-partial/sign-of-the-horns-dark-skin-tone
🤙	hand-fingers-partial/call-me-hand
🤙🏻	hand-fingers-partial/call-me-hand-light-skin-tone
🤙🏼	hand-fingers-partial/call-me-hand-medium-light-skin-tone
🤙🏽	hand-fingers-partial/call-me-hand-medium-skin-tone
🤙🏾	hand-fingers-partial/call-me-hand-medium-dark-skin-tone
🤙🏿	hand-fingers-partial/call-me-hand-dark-skin-tone
👈	hand-single-finger/backhand-index-pointing-left
👈🏻	hand-single-finger/backhand-index-pointing-left-light-skin-tone
👈🏼	hand-single-finger/backhand-index-pointing-left-medium-light-skin-tone
👈🏽	hand-single-finger/backhand-index-pointing-left-medium-skin-tone
👈🏾	hand-single-finger/backhand-index-pointing-left-medium-dark-skin-tone
👈🏿	hand-single-finger/backhand-index-pointing-left-dark-skin-tone
👉	hand-single-finger/backhand-index-pointing-right
👉🏻	hand-single-finger/backhand-index-pointing-right-light-skin-tone
👉🏼	hand-single-finger/backhand-index-pointing-right-medium-light-skin-tone
👉🏽	hand-single-finger/backhand-index-pointing-right-medium-skin-tone
👉🏾	hand-single-finger/backhand-index-pointing-right-medium-dark-skin-tone
👉🏿	hand-single-finger/backhand-index-pointing-right-dark-skin-tone
👆	hand-single-finger/backhand-index-pointing-up
👆🏻	hand-single-finger/backhand-index-pointing-up-light-skin-tone
👆🏼	hand-single-finger/backhand-index-pointing-up-medium-light-skin-tone
👆🏽	hand-single-finger/backhand-index-pointing-up-medium-skin-tone
👆🏾	hand-single-finger/backhand-index-pointing-up-medium-dark-skin-tone
👆🏿	hand-single-finger/backhand-index-pointing-up-dark-skin-tone
🖕	hand-single-finger/middle-finger
🖕🏻	hand-single-finger/middle-finger-light-skin-tone
🖕🏼	hand-single-finger/middle-finger-medium-light-skin-tone
🖕🏽	hand-single-finger/middle-finger-medium-skin-tone
🖕🏾	hand-single-finger/middle-finger-medium-dark-skin-tone
🖕🏿	hand-single-finger/middle-finger-dark-skin-tone
👇	hand-single-finger/backhand-index-pointing-down
👇🏻	hand-single-finger/backhand-index-pointing-down-light-skin-tone
👇🏼	hand-single-finger/backhand-index-pointing-down-medium-light-skin-tone
👇🏽	hand-single-finger/backhand-index-pointing-down-medium-skin-tone
👇🏾	hand-single-finger/backhand-index-pointing-down-medium-dark-skin-tone
👇🏿	hand-single-finger/backhand-index-pointing-down-dark-skin-tone
☝️	hand-single-finger/index-pointing-up
☝	hand-single-finger/index-pointing-up
☝🏻	hand-single-finger/index-pointing-up-light-skin-tone
☝🏼	hand-single-finger/index-pointing-up-medium-light-skin-tone
☝🏽	hand-single-finger/index-pointing-up-medium-skin-tone
☝🏾	hand-single-finger/index-pointing-up-medium-dark-skin-tone
☝🏿	hand-single-finger/index-pointing-up-dark-skin-tone
🫵	hand-single-finger/index-pointing-at-the-viewer
🫵🏻	hand-single-finger/index-pointing-at-the-viewer-light-skin-tone
🫵🏼	hand-single-finger/index-pointing-at-the-viewer-medium-light-skin-tone
🫵🏽	hand-single-finger/index-pointing-at-the-viewer-medium-skin-tone
🫵🏾	hand-single-finger/index-pointing-at-the-viewer-medium-dark-skin-tone
🫵🏿	hand-single-finger/index-pointing-at-the-viewer-dark-skin-tone
👍	hand-fingers-closed/thumbs-up
👍🏻	hand-fingers-closed/thumbs-up-light-skin-tone
👍🏼	hand-fingers-closed/thumbs-up-medium-light-skin-tone
👍🏽	hand-fingers-closed/thumbs-up-medium-skin-tone
👍🏾	hand-fingers-closed/thumbs-up-medium-dark-skin-tone
👍🏿	hand-fingers-closed/thumbs-up-dark-skin-tone
👎	hand-fingers-closed/thumbs-down
👎🏻	hand-fingers-closed/thumbs-down-light-skin-tone
👎🏼	hand-fingers-closed/thumbs-down-medium-light-skin-tone
👎🏽	hand-fingers-closed/thumbs-down-medium-skin-tone
👎🏾	hand-fingers-closed/thumbs-down-medium-dark-skin-tone
👎🏿	hand-fingers-closed/thumbs-down-dark-skin-tone
✊	hand-fingers-closed/raised-fist
✊🏻	hand-fingers-closed/raised-fist-light-skin-tone
✊🏼	hand-fingers-closed/raised-fist-medium-light-skin-tone
✊🏽	hand-fingers-closed/raised-fist-medium-skin-tone
✊🏾	hand-fingers-closed/raised-fist-medium-dark-skin-tone
✊🏿	hand-fingers-closed/raised-fist-dark-skin-tone
👊	hand-fingers-closed/oncoming-fist
👊🏻	hand-fingers-closed/oncoming-fist-light-skin-tone
👊🏼	hand-fingers-closed/oncoming-fist-medium-light-skin-tone
👊🏽	hand-fingers-closed/oncoming-fist-medium-skin-tone
👊🏾	hand-fingers-closed/oncoming-fist-medium-dark-skin-tone
👊🏿	hand-fingers-closed/oncoming-fist-dark-skin-tone
🤛	hand-fingers-closed/left-facing-fist
🤛🏻	hand-fingers-closed/left-facing-fist-light-skin-tone
🤛🏼	hand-fingers-closed/left-facing-fist-medium-light-skin-tone
🤛🏽	hand-fingers-closed/left-facing-fist-medium-skin-tone
🤛🏾	hand-fingers-closed/left-facing-fist-medium-dark-skin-tone
🤛🏿	hand-fingers-closed/left-facing-fist-dark-skin-tone
🤜	hand-fingers-closed/right-facing-fist
🤜🏻	hand-fingers-closed/right-facing-fist-light-skin-tone
🤜🏼	hand-fingers-closed/right-facing-fist-medium-light-skin-tone
🤜🏽	hand-fingers-closed/right-facing-fist-medium-skin-tone
🤜🏾	hand-fingers-closed/right-facing-fist-medium-dark-skin-tone
🤜🏿	hand-fingers-closed/right-facing-fist-dark-skin-tone
👏	hands/clapping-hands
👏🏻	hands/clapping-hands-light-skin-tone
👏🏼	hands/clapping-hands-medium-light-skin-tone
👏🏽	hands/clapping-hands-medium-skin-tone
👏🏾	hands/clapping-hands-medium-dark-skin-tone
👏🏿	hands/clapping-hands-dark-skin-tone
🙌	hands/raising-hands
🙌🏻	hands/raising-hands-light-skin-tone
🙌🏼	hands/raising-hands-medium-light-skin-tone
🙌🏽	hands/raising-hands-medium-skin-tone
🙌🏾	hands/raising-hands-medium-dark-skin-tone
🙌🏿	hands/raising-hands-dark-skin-tone
🫶	hands/heart-hands
🫶🏻	hands/heart-hands-light-skin-tone
🫶🏼	hands/heart-hands-medium-light-skin-tone
🫶🏽	hands/heart-hands-medium-skin-tone
🫶🏾	hands/heart-hands-medium-dark-skin-tone
🫶🏿	hands/heart-hands-dark-skin-tone
👐	hands/open-hands
👐🏻	hands/open-hands-light-skin-tone
👐🏼	hands/open-hands-medium-light-skin-tone
👐🏽	hands/open-hands-medium-skin-tone
👐🏾	hands/open-hands-medium-dark-skin-tone
👐🏿	hands/open-hands-dark-skin-tone
🤲	hands/palms-up-together
🤲🏻	hands/palms-up-together-light-skin-tone
🤲🏼	hands/palms-up-together-medium-light-skin-tone
🤲🏽	hands/palms-up-together-medium-skin-tone
🤲🏾	hands/palms-up-together-medium-dark-skin-tone
🤲🏿	hands/palms-up-together-dark-skin-tone
🤝	hands/handshake
🤝🏻	hands/handshake-light-skin-tone
🤝🏼	hands/handshake-medium-light-skin-tone
🤝🏽	hands/handshake-medium-skin-tone
🤝🏾	hands/handshake-medium-dark-skin-tone
🤝🏿	hands/handshake-dark-skin-tone
🫱🏻‍🫲🏼	hands/handshake-light-skin-tone-medium-light-skin-tone
🫱🏻‍🫲🏽	hands/handshake-light-skin-tone-medium-skin-tone
🫱🏻‍🫲🏾	hands/handshake-light-skin-tone-medium-dark-skin-tone
🫱🏻‍🫲🏿	hands/handshake-light-skin-tone-dark-skin-tone
🫱🏼‍🫲🏻	hands/handshake-medium-light-skin-tone-light-skin-tone
🫱🏼‍🫲🏽	hands/handshake-medium-light-skin-tone-medium-skin-tone
🫱🏼‍🫲🏾	hands/handshake-medium-light-skin-tone-medium-dark-skin-tone
🫱🏼‍🫲🏿	hands/handshake-medium-light-skin-tone-dark-skin-tone
🫱🏽‍🫲🏻	hands/handshake-medium-skin-tone-light-skin-tone
🫱🏽‍🫲🏼	hands/handshake-medium-skin-tone-medium-light-skin-tone
🫱🏽‍🫲🏾	hands/handshake-medium-skin-tone-medium-dark-skin-tone
🫱🏽‍🫲🏿	hands/handshake-medium-skin-tone-dark-skin-tone
🫱🏾‍🫲🏻	hands/handshake-medium-dark-skin-tone-light-skin-tone
🫱🏾‍🫲🏼	hands/handshake-medium-dark-skin-tone-medium-light-skin-tone
🫱🏾‍🫲🏽	hands/handshake-medium-dark-skin-tone-medium-skin-tone
🫱🏾‍🫲🏿	hands/handshake-medium-dark-skin-tone-dark-skin-tone
🫱🏿‍🫲🏻	hands/handshake-dark-skin-tone-light-skin-tone
🫱🏿‍🫲🏼	hands/handshake-dark-skin-tone-medium-light-skin-tone
🫱🏿‍🫲🏽	hands/handshake-dark-skin-tone-medium-skin-tone
🫱🏿‍🫲🏾	hands/handshake-dark-skin-tone-medium-dark-skin-tone
🙏	hands/folded-hands
🙏🏻	hands/folded-hands-light-skin-tone
🙏🏼	hands/folded-hands-medium-light-skin-tone
🙏🏽	hands/folded-hands-medium-skin-tone
🙏🏾	hands/folded-hands-medium-dark-skin-tone
🙏🏿	hands/folded-hands-dark-skin-tone
✍️	hand-prop/writing-hand
✍	hand-prop/writing-hand
✍🏻	hand-prop/writing-hand-light-skin-tone
✍🏼	hand-prop/writing-hand-medium-light-skin-tone
✍🏽	hand-prop/writing-hand-medium-skin-tone
✍🏾	hand-prop/writing-hand-medium-dark-skin-tone
✍🏿	hand-prop/writing-hand-dark-skin-tone
